0,1,2,3,4,5,6,7,8
C3,CXCL14,COX6C,CPB1,CRISP3,IGLC2,MGP,S100G,EEF1A1
TIMP1,CCND1,SLC39A6,IL6ST,SLITRK6,RPL36,DSP,AC087379.2,RPS27A
VIM,AGR2,MT-ND1,TNFSF10,IGFBP5,KRT19,S100G,IFI6,MS4A1
COL6A2,GFRA1,WFDC2,CFB,C6orf141,IGHG1,TFF3,IFT122,RPS12
DCN,DEGS1,SNCG,PVALB,S100A13,IGKC,GAPDH,IFI27,RPS3A
IGFBP7,TTLL12,CSTA,EXOC2,H3F3A,APOE,S100A6,TPD52,RPL21
BGN,TCEAL4,RAB11FIP1,BAMBI,SERHL2,CALML5,TFF1,HEBP1,TRBC2
IGHG1,GNG5,MT-CO1,TMEM150C,VTCN1,RPS9,LDHA,ITPR1,TMSB4X
IGHG3,KRT18,AMFR,COLEC12,S100A16,IGHG3,STC2,FAM234B,CD37
SFRP2,S100A11,MCCD1,ERLIN2,S100A11,MUC1,ACADSB,PCED1B,RPLP2
